Order_No,Restaurant_Latitude,Restaurant_Longitude,Destination_Latitude,Destination_Longitude,Price
0,28.4676808,-81.4510725,28.462967,-81.421772,775.86
1,28.4676808,-81.4510725,28.4639932,-81.424864,32
2,28.4676808,-81.4510725,28.4639932,-81.424864,39.78
3,28.4676808,-81.4510725,28.4639932,-81.424864,472.5
4,28.440344,-81.469986,28.4706889,-81.440996,6.64
5,28.4676808,-81.4510725,28.4706889,-81.440996,2.52
6,28.437065,-81.471526,28.4706889,-81.440996,254.1
7,28.440344,-81.469986,28.4728089,-81.435857,27.3
8,28.4676808,-81.4510725,28.4728089,-81.435857,1.88
9,28.440344,-81.469986,28.4743491,-81.443596,5.45
10,28.4676808,-81.4510725,28.4743491,-81.443596,95.85
11,28.437065,-81.471526,28.4743491,-81.443596,6.72
12,28.4676808,-81.4510725,28.4797111,-81.441594,49.8
13,28.4676808,-81.4510725,28.4802611,-81.439055,220.8
14,28.440344,-81.469986,28.4815344,-81.453085,374.68
15,28.4676808,-81.4510725,28.4815344,-81.453085,11.61
16,28.4676808,-81.4510725,28.482,-81.431,80.96
17,28.4676808,-81.4510725,28.482,-81.431,36.9
18,28.4676808,-81.4510725,28.482,-81.431,14.67
19,28.4676808,-81.4510725,28.4829316,-81.427559,14.62
20,28.4676808,-81.4510725,28.4829316,-81.427559,146.56
21,28.4676808,-81.4510725,28.4838128,-81.449104,96.14
22,28.4676808,-81.4510725,28.484,-81.445,42.46
23,28.440344,-81.469986,28.4840003,-81.459519,72.79
24,28.4676808,-81.4510725,28.4840003,-81.459519,0.36
25,28.448175,-81.487978,28.4840003,-81.459519,121.06
26,28.4676808,-81.4510725,28.484038,-81.454586,47.4
27,28.4676808,-81.4510725,28.4846607,-81.459479,38.35
28,28.448175,-81.487978,28.4846607,-81.459479,145.14
29,28.4676808,-81.4510725,28.4851633,-81.458246,9.84
30,28.4676808,-81.4510725,28.4852375,-81.46475,100
31,28.448175,-81.487978,28.4852375,-81.46475,106.26
32,28.440344,-81.469986,28.4852513,-81.465388,108.16
33,28.4676808,-81.4510725,28.4852513,-81.465388,37.95
34,28.448175,-81.487978,28.4852513,-81.465388,9.13
35,28.4676808,-81.4510725,28.4858631,-81.441923,29.4
36,28.4676808,-81.4510725,28.486,-81.45,28.35
37,28.4676808,-81.4510725,28.4862329,-81.458161,5
38,28.4676808,-81.4510725,28.4864182,-81.456324,20.4
39,28.4676808,-81.4510725,28.4867716,-81.459491,60.79
40,28.4676808,-81.4510725,28.4868886,-81.44944,3.01
41,28.4676808,-81.4510725,28.4869625,-81.46974,65.01
42,28.448175,-81.487978,28.4869625,-81.46974,22.59
43,28.4676808,-81.4510725,28.4872248,-81.449614,53
44,28.4676808,-81.4510725,28.4872248,-81.449614,391.32
45,28.4676808,-81.4510725,28.4878219,-81.467615,165.36
46,28.448175,-81.487978,28.4878219,-81.467615,6.3
47,28.4676808,-81.4510725,28.4878272,-81.412762,17.55
48,28.4676808,-81.4510725,28.4879409,-81.467381,118.58
49,28.448175,-81.487978,28.4879409,-81.467381,534.63
50,28.4676808,-81.4510725,28.4879567,-81.462999,13.26
51,28.4676808,-81.4510725,28.4879715,-81.470494,448
52,28.448175,-81.487978,28.4879715,-81.470494,3794.4
53,28.4676808,-81.4510725,28.4880462,-81.469189,192
54,28.448175,-81.487978,28.4880462,-81.469189,74.56
55,28.4676808,-81.4510725,28.4881142,-81.468917,95.85
56,28.448175,-81.487978,28.4881142,-81.468917,662.4
57,28.4676808,-81.4510725,28.4881982,-81.470621,24.65
58,28.448175,-81.487978,28.4881982,-81.470621,49.92
